title,numoverall,series,numinseries,director,writer,airdate,viewers
The Truth‡,201202,9,1920,Kim Manners,Chris Carter,"May 19, 2002 (2002-05-19)",13.25[145]
My Struggle‡,203,10,1,Chris Carter,Chris Carter,"January 24, 2016 (2016-01-24)",16.19[146]
Founder's Mutation,204,10,2,James Wong,James Wong,"January 25, 2016 (2016-01-25)",9.67[147]
Mulder and Scully Meet the Were-Monster,205,10,3,Darin Morgan,Darin Morgan,"February 1, 2016 (2016-02-01)",8.37[148]
Home Again,206,10,4,Glen Morgan,Glen Morgan,"February 8, 2016 (2016-02-08)",8.31[149]
Babylon,207,10,5,Chris Carter,Chris Carter,"February 15, 2016 (2016-02-15)",7.07[150]
My Struggle II‡,208,10,6,Chris Carter,Story by : Dr. Anne Simon & Dr. Margaret Fearon & Chris CarterTeleplay by : Chris Carter,"February 22, 2016 (2016-02-22)",7.60[151]
My Struggle III‡,209,11,1,Chris Carter,Chris Carter,"January 3, 2018 (2018-01-03)",5.15[152]
This,210,11,2,Glen Morgan,Glen Morgan,"January 10, 2018 (2018-01-10)",3.95[153]
Plus One,211,11,3,Kevin Hooks,Chris Carter,"January 17, 2018 (2018-01-17)",3.95[154]
The Lost Art of Forehead Sweat,212,11,4,Darin Morgan,Darin Morgan,"January 24, 2018 (2018-01-24)",3.87[155]
Ghouli‡,213,11,5,James Wong,James Wong,"January 31, 2018 (2018-01-31)",3.64[156]
Kitten,214,11,6,Carol Banker,Gabe Rotter,"February 7, 2018 (2018-02-07)",3.74[157]
Rm9sbG93ZXJz[nb 2],215,11,7,Glen Morgan,Shannon Hamblin & Kristen Cloke,"February 28, 2018 (2018-02-28)",3.23[159]
Familiar,216,11,8,Holly Dale,Benjamin Van Allen,"March 7, 2018 (2018-03-07)",3.46[160]
Nothing Lasts Forever,217,11,9,James Wong,Karen Nielsen,"March 14, 2018 (2018-03-14)",3.01[161]
My Struggle IV‡,218,11,10,Chris Carter,Chris Carter,"March 21, 2018 (2018-03-21)",3.43[162]
